x,y,z,Year,Month,dT
1880.0,0.0,-0.8,1880.0,0.0,-0.8
1880.0,1.0,-0.37,1880.0,1.0,-0.37
1880.0,2.0,-0.45,1880.0,2.0,-0.45
1880.0,3.0,-0.64,1880.0,3.0,-0.64
1880.0,4.0,-0.34,1880.0,4.0,-0.34
1880.0,5.0,-0.47,1880.0,5.0,-0.47
1880.0,6.0,-0.46,1880.0,6.0,-0.46
1880.0,7.0,0.1,1880.0,7.0,0.1
1880.0,8.0,-0.47,1880.0,8.0,-0.47
1880.0,9.0,-0.65,1880.0,9.0,-0.65
1880.0,10.0,-0.49,1880.0,10.0,-0.49
1880.0,11.0,-0.51,1880.0,11.0,-0.51
1881.0,0.0,-0.76,1881.0,0.0,-0.76
1881.0,1.0,-0.59,1881.0,1.0,-0.59
1881.0,2.0,-0.34,1881.0,2.0,-0.34
1881.0,3.0,-0.24,1881.0,3.0,-0.24
1881.0,4.0,0.0,1881.0,4.0,0.0
1881.0,5.0,-1.09,1881.0,5.0,-1.09
1881.0,6.0,-0.5,1881.0,6.0,-0.5
1881.0,7.0,-0.21,1881.0,7.0,-0.21
1881.0,8.0,-0.31,1881.0,8.0,-0.31
1881.0,9.0,-0.45,1881.0,9.0,-0.45
1881.0,10.0,-0.53,1881.0,10.0,-0.53
1881.0,11.0,-0.11,1881.0,11.0,-0.11
1882.0,0.0,0.15,1882.0,0.0,0.15
1882.0,1.0,-0.08,1882.0,1.0,-0.08
1882.0,2.0,-0.05,1882.0,2.0,-0.05
1882.0,3.0,-0.55,1882.0,3.0,-0.55
1882.0,4.0,-0.34,1882.0,4.0,-0.34
1882.0,5.0,-0.99,1882.0,5.0,-0.99
1882.0,6.0,-0.67,1882.0,6.0,-0.67
1882.0,7.0,-0.08,1882.0,7.0,-0.08
1882.0,8.0,-0.04,1882.0,8.0,-0.04
1882.0,9.0,-0.28,1882.0,9.0,-0.28
1882.0,10.0,-0.36,1882.0,10.0,-0.36
1882.0,11.0,-0.64,1882.0,11.0,-0.64
1883.0,0.0,-0.65,1883.0,0.0,-0.65
1883.0,1.0,-0.91,1883.0,1.0,-0.91
1883.0,2.0,-0.43,1883.0,2.0,-0.43
1883.0,3.0,-0.28,1883.0,3.0,-0.28
1883.0,4.0,-0.32,1883.0,4.0,-0.32
1883.0,5.0,0.47,1883.0,5.0,0.47
1883.0,6.0,0.02,1883.0,6.0,0.02
1883.0,7.0,-0.12,1883.0,7.0,-0.12
1883.0,8.0,-0.42,1883.0,8.0,-0.42
1883.0,9.0,-0.53,1883.0,9.0,-0.53
1883.0,10.0,-0.66,1883.0,10.0,-0.66
1883.0,11.0,-0.36,1883.0,11.0,-0.36
1884.0,0.0,-0.57,1884.0,0.0,-0.57
1884.0,1.0,-0.31,1884.0,1.0,-0.31
1884.0,2.0,-0.37,1884.0,2.0,-0.37
1884.0,3.0,-0.91,1884.0,3.0,-0.91
1884.0,4.0,-1.16,1884.0,4.0,-1.16
1884.0,5.0,-0.79,1884.0,5.0,-0.79
1884.0,6.0,-0.81,1884.0,6.0,-0.81
1884.0,7.0,0.19,1884.0,7.0,0.19
1884.0,8.0,-0.33,1884.0,8.0,-0.33
1884.0,9.0,-0.74,1884.0,9.0,-0.74
1884.0,10.0,-0.78,1884.0,10.0,-0.78
1884.0,11.0,-0.96,1884.0,11.0,-0.96
1885.0,0.0,-0.89,1885.0,0.0,-0.89
1885.0,1.0,-0.76,1885.0,1.0,-0.76
1885.0,2.0,-0.88,1885.0,2.0,-0.88
1885.0,3.0,-0.83,1885.0,3.0,-0.83
1885.0,4.0,-0.45,1885.0,4.0,-0.45
1885.0,5.0,-0.9,1885.0,5.0,-0.9
1885.0,6.0,-0.59,1885.0,6.0,-0.59
1885.0,7.0,-0.12,1885.0,7.0,-0.12
1885.0,8.0,-0.12,1885.0,8.0,-0.12
1885.0,9.0,0.0,1885.0,9.0,0.0
1885.0,10.0,-0.34,1885.0,10.0,-0.34
1885.0,11.0,0.05,1885.0,11.0,0.05
