Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.80,-.37,-.45,-.64,-.34,-.47,-.46,.10,-.47,-.65,-.49,-.51,-.46,***,***,-.47,-.28,-.54
1881,-.76,-.59,-.34,-.24,.00,-1.09,-.50,-.21,-.31,-.45,-.53,-.11,-.43,-.46,-.62,-.19,-.60,-.43
1882,.15,-.08,-.05,-.55,-.34,-.99,-.67,-.08,-.04,-.28,-.36,-.64,-.33,-.28,-.01,-.31,-.58,-.23
1883,-.65,-.91,-.43,-.28,-.32,.47,.02,-.12,-.42,-.53,-.66,-.36,-.35,-.37,-.73,-.34,.12,-.54
1884,-.57,-.31,-.37,-.91,-1.16,-.79,-.81,.19,-.33,-.74,-.78,-.96,-.63,-.58,-.41,-.81,-.47,-.62
1885,-.89,-.76,-.88,-.83,-.45,-.90,-.59,-.12,-.12,.00,-.34,.05,-.49,-.57,-.87,-.72,-.54,-.15
1886,-.72,-.79,-.65,-.58,-.53,-.81,-.36,-.69,-.38,-.82,-.45,-.71,-.63,-.56,-.49,-.59,-.62,-.55
1887,-.84,-1.24,-.56,-.81,-.83,-.64,-.38,-.23,-.59,-.52,-.89,-.63,-.68,-.69,-.93,-.73,-.42,-.67
1888,-.70,-.79,-.87,-.28,-.72,-.52,-.33,-.32,-.38,-.24,-.02,-.14,-.44,-.48,-.70,-.62,-.39,-.22
1889,-.25,.21,.10,.16,.15,-.26,-.37,-.56,-.33,-.16,-.40,-.41,-.18,-.16,-.06,.14,-.40,-.30
1890,-.57,-.60,-.58,-.49,-.89,-.54,-.57,-.58,-.31,-.23,-.73,-.49,-.55,-.54,-.52,-.66,-.56,-.42
1891,-.92,-1.04,-.49,-.65,-.45,-.54,-.71,-.55,-.48,-.54,-.53,.06,-.57,-.62,-.82,-.53,-.60,-.52
1892,-.59,-.28,-.56,-.68,-.62,-.53,-.35,-.23,-.44,-.31,-.60,-.57,-.48,-.43,-.27,-.62,-.37,-.45
1893,-1.40,-.97,-.56,-.63,-.70,-.66,-.12,-.33,-.24,-.08,-.10,-.35,-.51,-.53,-.98,-.63,-.37,-.14
1894,-.74,-.61,-.38,-.64,-.65,-.47,-.37,-.31,-.42,-.08,-.14,-.16,-.41,-.43,-.56,-.56,-.38,-.21
1895,-.68,-.78,-.50,-.46,-.29,-.28,-.53,-.18,-.14,-.10,-.16,-.08,-.35,-.36,-.54,-.42,-.33,-.13
